address,area,baths,beds,building type,latitude,longitude,neighborhood,price
93 Sanford Place,1080.0,1.0,N/A,House,40.61510086,-74.11779785,Castleton Corners,549000.0
152 McClean Avenue,3000.0,4.0,7.0,Multi-family,40.59769821,-74.06680298,South Beach,1299000.0
48 Quinn Street,1796.0,1.5,4.0,Townhouse,40.62340164,-74.07820129,Clifton,550000.0
46 Montell Street,1280.0,2.0,4.0,House,40.62900162,-74.13890076,Port Richmond,513500.0
109 Rome Avenue,3000.0,4.0,6.0,House,40.60210037,-74.09320068,Emerson Hill,749900.0
163 Baden Place,1120.0,1.5,2.0,House,40.57279968,-74.09120178,Midland Beach,389000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
26 Bayview Avenue,4124.0,2.5,4.0,Multi-family,40.52479935,-74.2059021,Princes Bay,935000.0
57 Newberry Avenue,N/A,2.0,4.0,House,40.59519958,-74.09369659,Dongan Hills,849900.0
89 Dover Green,1544.0,2.0,3.0,House,40.55619812,-74.19650269,Huguenot,429000.0
67 Bradley Avenue,1800.0,3.5,3.0,House,40.61050034,-74.13200378,Castleton Corners,599999.0
65 Bradley Avenue,1800.0,3.5,3.0,House,40.61059952,-74.13200378,Castleton Corners,599999.0
582 Yetman Avenue,3200.0,4.0,4.0,Multi-family,40.50149918,-74.24079895,Tottenville,848000.0
282 Gordon Street,N/A,1.0,2.0,Townhouse,40.62039948,-74.08370209,Clifton,225000.0
137 Cranford Avenue,1292.0,1.0,3.0,House,40.57139969,-74.12840271,Richmondtown,479900.0
129 Sycamore Street,1471.0,2.0,4.0,House,40.54330063,-74.15540314,Great Kills,669900.0
798 Armstrong,N/A,N/A,3.0,House,40.55400085,-74.16079712,Eltingville,529999.0
33 Honey Lane,2600.0,2.5,5.0,House,40.50960159,-74.23690033,Tottenville,889900.0
11 McCormick Place,1260.0,2.0,2.0,Townhouse,40.59669876,-74.08329773,Grasmere,399000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
24 Northfield Court,1400.0,1.5,3.0,Townhouse,40.6405983,-74.16880035,Arlington,274999.0
155 Bay Street #5H,962.0,2.0,N/A,Condo,40.63809967,-74.07550049,Saint George,529998.0
34 Rose Lane,1920.0,3.0,5.0,Multi-family,40.53290176,-74.18720245,Huguenot,780000.0
21 Carlyle Green,N/A,1.0,2.0,House,40.55670166,-74.19860077,Huguenot,349900.0
577 Wainwright Avenue,2000.0,3.0,6.0,Multi-family,40.54629898,-74.16850281,Eltingville,899000.0
286 Brighton Street,N/A,1.0,2.0,House,40.50310135,-74.24330139,Tottenville,425000.0
267 Gordon Street,1200.0,1.5,4.0,House,40.62070084,-74.08319855,Clifton,325000.0
554 Falcon Avenue,2140.0,2.5,3.0,House,40.55929947,-74.11740112,Oakwood,768000.0
33 Alex Cir,1554.0,1.0,3.0,House,40.59280014,-74.06510162,Staten Island,528800.0
74 Van Duzer Street,2400.0,2.0,6.0,Multi-family,40.63610077,-74.07740021,Tompkinsville,699999.0
197 Giffords Lane,N/A,1.5,5.0,House,40.55630112,-74.15229797,Great Kills,539880.0
2 Elmwood Park Dr 222 #222,649.0,1.0,1.0,Condo,40.58169937,-74.16179657,New Springville,284999.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
74 Romer Road,N/A,4.0,5.0,House,40.59189987,-74.104599,Dongan Hills,1099000.0
12 Sterling Avenue,1550.0,1.0,3.0,House,40.56999969,-74.11599731,New Dorp,619000.0
59 Lisa Lane,2392.0,3.5,4.0,House,40.54930115,-74.19650269,Huguenot,649000.0
21 Harris Lane,N/A,3.0,3.0,House,40.54249954,-74.21910095,Rossville,549900.0
414 Maryland Avenue #3B,900.0,1.0,1.0,Condo,40.60810089,-74.07409668,Shore Acres,225000.0
281 Signs Rd # D #D,1229.0,1.5,3.0,Townhouse,40.60290146,-74.17060089,Bulls Head,424900.0
18 Elk Court,N/A,2.0,2.0,House,40.56330109,-74.14050293,Richmondtown,385000.0
1090 Richmond Rd,3300.0,,2.0,Building,40.60029984,-74.09190369,Emerson Hill,1499999.0
103 Regan Avenue,2016.0,3.0,6.0,Multi-family,40.63199997,-74.10900116,West Brighton,650000.0
155 Highland Avenue,3500.0,3.0,5.0,Townhouse,40.616343,-74.097032,Grymes Hill,1659000.0
196 Stobe Avenue,1680.0,1.5,3.0,House,40.58259964,-74.09929657,Grant City,535000.0
148 Olympia Boulevard,1906.0,2.5,4.0,House,40.59180069,-74.07319641,South Beach,509000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
44 Annfield Ct,3112.0,3.5,4.0,House,40.60039902,-74.10700226,Todt Hill,1449000.0
4 Edwin Street,2230.0,2.5,4.0,House,40.53739929,-74.16750336,Annadale,899999.0
309 Guyon Avenue,3320.0,3.0,5.0,House,40.56029892,-74.11940002,Oakwood,1398000.0
20 Gregory Lane #150,1146.0,2.0,2.0,Condo,40.57799911,-74.16049957,New Springville,299000.0
5190 Amboy Road,2856.0,2.5,4.0,Multi-family,40.53480148,-74.18319702,Huguenot,759900.0
20 Abingdon Avenue #20,650.0,1.0,1.0,Condo,40.54980087,-74.15599823,Great Kills,257000.0
41 Country Drive West #41,1120.0,N/A,2.0,Condo,40.5882988,-74.16369629,New Springville,374800.0
50 Fort Place #B5B,1100.0,1.0,2.0,Co-op,40.64149857,-74.08000183,Saint George,335000.0
191 Mallory Avenue,1400.0,2.0,3.0,House,40.59389877,-74.07749939,South Beach,648500.0
89 Mersereau Avenue,N/A,2.0,4.0,Multi-family,40.63639832,-74.16329956,Mariners Harbor,399000.0
73 Arlington Place,1300.0,N/A,4.0,Multi-family,40.63600159,-74.165802,Mariners Harbor,369000.0
75 Arlington Place,N/A,N/A,4.0,Multi-family,40.63600159,-74.16590118,Mariners Harbor,369000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
25 Ridgefield Avenue,N/A,2.0,2.0,House,40.61320114,-74.08820343,Grymes Hill,499000.0
246 Bertram Avenue,3960.0,4.0,5.0,Multi-family,40.52899933,-74.1785965,Huguenot,1298000.0
193 Dixon Avenue,N/A,1.5,3.0,House,40.62850189,-74.14839935,Mariners Harbor,499000.0
139 Admiralty Loop,2300.0,4.0,3.0,Townhouse,40.51530075,-74.20349884,Princes Bay,409000.0
107 Tioga Street,2592.0,2.0,3.0,House,40.6114006,-74.10289764,Sunnyside (Staten Island),650000.0
175 Zoe Street #5D,484.0,1.0,N/A,Condo,40.58480072,-74.10099792,Grant City,245000.0
254 Evergreen Avenue,2935.0,2.5,5.0,House,40.58980179,-74.08550262,Dongan Hills,849000.0
234A Steuben Street,1248.0,1.0,2.0,Townhouse,40.60820007,-74.08260345,Park Hill,299000.0
41 Carolyn Ct,3900.0,4.0,4.0,House,40.51670074,-74.20829773,Pleasant Plains,1279999.0
31 Hylan Boulevard #1B,1023.0,1.0,1.0,Condo,40.61520004,-74.06469727,Rosebank,449000.0
304 S Greenleaf Avenue,N/A,2.0,3.0,House,40.61629868,-74.12529755,Westerleigh,745000.0
351 Ridgewood Avenue,N/A,3.5,4.0,Multi-family,40.55630112,-74.16490173,Eltingville,699000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
32 Norman Place,1880.0,2.0,3.0,House,40.51720047,-74.19460297,Princes Bay,659000.0
65 Ridge Loop,8150.0,4.0,6.0,House,40.60039902,-74.10089874,Todt Hill,1500000.0
104 Norwalk Avenue,2752.0,3.0,4.0,House,40.60509872,-74.11689758,Todt Hill,799000.0
416 Hoyt Avenue,1144.0,1.0,2.0,House,40.63249969,-74.10540009,West Brighton,449900.0
122 Arnold Street,1242.0,1.5,3.0,House,40.63809967,-74.09249878,New Brighton,385000.0
192 Bathgate Street,864.0,1.0,1.0,House,40.52920151,-74.16290283,Annadale,369000.0
429 Bertram Avenue,3878.0,3.5,4.0,House,40.52479935,-74.17500305,Huguenot,1600000.0
849 Jewett Avenue,N/A,4.0,6.0,Multi-family,40.61600113,-74.13079834,Westerleigh,975000.0
178 Grimsby Street,N/A,1.5,3.0,Townhouse,40.57369995,-74.09400177,Midland Beach,469000.0
18 Penn Street,N/A,1.0,3.0,House,40.61029816,-74.12349701,Castleton Corners,485000.0
15 Davidson Court,N/A,,2.0,Multi-family,40.63560104,-74.16300201,Mariners Harbor,6800000.0
374 Huguenot Avenue,8194.0,1.5,3.0,Multi-family,40.54589844,-74.1989975,Woodrow,899000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
3 Esmac Court West,N/A,5.0,5.0,House,40.59489822,-74.10579681,Todt Hill,1649999.0
402 Manhattan Street,N/A,4.0,4.0,Multi-family,40.5,-74.24120331,Tottenville,889000.0
95 Bishop Street,N/A,2.0,3.0,House,40.5727005,-74.12480164,Richmondtown,749900.0
24 Grove Street,1440.0,N/A,3.0,Multi-family,40.62689972,-74.08180237,Stapleton,450000.0
23 Jackson Street,1218.0,2.0,3.0,Multi-family,40.63069916,-74.07920074,Tompkinsville,499000.0
78 Towers Lane,N/A,2.5,3.0,House,40.5929985,-74.18499756,Travis,450000.0
213 Jefferson Avenue #1,N/A,1.0,2.0,Multi-family,40.58190155,-74.09919739,Grant City,699000.0
25 N Burgher Avenue #25,N/A,1.5,4.0,House,40.64099884,-74.1155014,West Brighton,256000.0
526 Targee Street,N/A,1.5,3.0,Townhouse,40.61420059,-74.08519745,Park Hill,2085000.0
542 Targee Street,N/A,1.5,3.0,Townhouse,40.61420059,-74.08519745,Park Hill,850000.0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
